Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C14, C19, C20, C23, C26, C29, C3, C34, C36, C38, C4, C40, C42, C48, C5, C50, C52, C54, C56",0805,21,100n,
C10,0805,1,2p,
C11,0805,1,0.2p,
C12,0805,1,0.1p,
C15,0805,1,68p,
C16,0805,1,160p,
"C17, C18",0805,2,180p,
"C2, C46",0805,2,10n,
"C21, C28",1206,2,1u,
"C22, C25, C32, C35",0805,4,47u,
"C24, C27, C37, C39, C41",0805,5,100p,
C30,1206,1,100u,
C31,0805,1,0.1u,
"C33, C43",0805,2,10u,
"C44, C45",0805,2,18p,
C47,1206,1,2.2n,
C49,CP_Elec_4x5.4,1,10u,
"C51, C53, C55",CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder,3,10u,
C6,0805,1,56n,
C7,0805,1,2n,
C8,0805,1,200p,
C9,0805,1,20p,
D1,1206,1,Red,
D2,1206,1,Yellow,
D3,1206,1,Green,
FB1,0603,1,FerriteBead_Small,
IC1,SOIC127P600X175_LMP7702,1,LMP7702MAX_NOPB,
"IC2, IC3",SOT95P280X145_LMP7701,2,LMP7701MFX_NOPB,
IC4,SOP65P490X110_MAX5217,1,MAX5217GUA+,
IC5,SOIC127P600X175_MAX4477,1,MAX4477ASA+,
IC6,SOT95P237X112_LM40402_5,1,LM4040AIM3X-2.5_NOPB,
IC7,SOT95P237X112_LM4040A5,1,LM4040A50IDBZR,
IC8,SOT95P280X145_OPA354,1,OPA354AIDBVT,
"J1, J3, J5",BNC_Amphenol_B6252HB-NPP3G-50_Horizontal,3,Conn_Coaxial,
J2,PinSocket_2x15_P2.54mm_Horizontal,1,Conn_02x15_Odd_Even,
J7,USB_Micro-B_GCT_USB3076-30-A,1,USB_B_Micro,
JP3,TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,Jumper_2_Open,
"R1, R2, R26, R27, R28, R9",0805,6,100,
"R10, R15",0603,2,18.7k,
"R11, R14, R19, R20",0603,4,1k,
"R12, R13",0603,2,25.5k,
"R16, R17, R18",0603,3,4.7k,
R21,0603,1,10k,
"R22, R23",0805,2,49.9,
"R24, R25",0603,2,300,
"R29, R30, R31",0603,3,470,
R3,0805,1,3k,
R4,0805,1,30k,
R5,0805,1,300k,
R6,0805,1,3M,
R7,0805,1,30M,
R8,0805,1,100M,
U1,MAX4737,1,MAX4737EUD+,
U2,M08ALMP7721_,1,LMP7721MA/NOPB,
U3,DB20_ADS1255,1,ADS1255IDBR,
U4,SOT23_5491,1,MAX5491LA01000+T,
U5,MAX4617,1,MAX4617CSE+,
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,
U7,SOT-223-3_TabPin2,1,AMS1117-5.0,
X1,CRYSTAL_8,1,XTAL8MHZ,
